701	Jab head, Jab body, Cross
702	Jab, Lead uppercut
703	Jab, Rear uppercut
704	Lead uppercut, Jab
705	Cross, Lead hook
706	Cross body, Lead hook head
707	Cross head, Lead hook body
708	Double lead hook
709	Double rear hook — low to high
710	Lead hook, Lead uppercut
711	Lead hook, Cross body
712	Rear uppercut, Lead hook
713	Lead uppercut, Rear hook
714	Lead uppercut, Rear uppercut
715	Rear uppercut, Lead hook
716	Rear uppercut, Cross
717	Rear uppercut, Jab
718	Lead hook, Rear hook
719	Lead hook, Rear uppercut
720	Rear hook, Rear uppercut
721	Rear uppercut, Rear hook
722	Triple jab
723	Jab, Lead hook, Lead uppercut
724	Jab, Lead uppercut, Lead hook
725	Jab, Jab, Cross
726	Jab head, Jab body, Lead hook head
727	Jab, Cross, Lead hook
728	Jab, Cross, Lead uppercut
729	Jab, Lead hook, Rear hook
730	Cross, Lead hook, Cross
731	Lead hook, Cross, Lead hook
732	Lead hook, Lead uppercut, Cross
733	Lead hook, Lead uppercut, Rear hook
734	Lead hook body, Lead hook head, Rear uppercut
735	Jab, Cross body, Lead hook head
736	Jab, Cross, Jab
737	Jab, Rear uppercut, Lead hook
738	Jab, Lead hook, Cross
739	Jab, Lead hook, Rear uppercut
740	Jab, Lead Hook Body, Lead Hook Head
741	Jab, Lead uppercut, Rear hook
742	Lead uppercut, Rear hook, Lead hook
743	Jab, Cross, Lead hook body, Rear uppercut
744	Cross, Lead hook, Cross, Lead hook body
745	Cross, Lead hook, Cross body, Lead uppercut
746	Jab, Lead hook, Cross, Lead hook
747	Jab, Lead hook body, Lead hook head, Rear uppercut
748	Jab, Cross body, Lead hook, Rear hook body
749	Lead hook, Rear hook, Lead uppercut, Rear uppercut
750	Lead uppercut, Lead hook, Rear uppercut, Rear hook
751	Lead hook, Lead uppercut, Rear hook, Rear uppercut
752	Lead hook, Rear uppercut, Lead uppercut, Rear hook
753	Jab, Cross, Lead uppercut, Cross, Lead hook
754	Lead hook, Cross, Lead uppercut, Rear hook, Lead hook body
755	Jab, Jab, Cross, Lead hook, Cross
756	Jab, Cross, Lead hook, Cross, Lead uppercut, Rear uppercut
757	Jab, Cross, Lead uppercut, Cross, Lead hook, Rear uppercut
758	Jab, Rear elbow
759	Cross, Lead elbow
760	Cross body, Lead upward elbow
761	Lead hook, Rear elbow
762	Jab, Lead elbow
763	Jab, Cross, Lead elbow
764	Jab, Lead elbow, Rear elbow
765	Cross, Lead hook, Rear elbow
766	Cross, Rear elbow, Cross
767	Jab, Cross, Lead upward elbow
768	Cross, Lead upward elbow, Rear elbow
769	Rear uppercut, Lead hook, Rear elbow
770	Cross, Lead hook body, Rear elbow
771	Lead hook body, Rear elbow, Lead upward elbow
772	Double Jab
773	Jab, Cross
774	Jab, Lead Short Uppercut
775	Jab, Rear Short Uppercut
776	Cross, Lead Overhand
777	Cross to Belly, Lead Overhand
778	Jab, Lead Cut Elbow
779	Jab, Lead Spear Elbow
780	Jab, Lead Straight Knee
781	Jab, Lead Kick
782	Jab, Lead Teep
783	Two Jabs, Cross
784	Jab, Lead Short Uppercut, Cross
785	Jab, Cross, Lead Overhand
786	Jab, Rear Short Uppercut, Lead Overhand
787	Jab, Kick, Cross
788	Jab, Cross, Low Cut Kick
789	Jab, Rear Low Cut Kick, Lead High Kick
790	Jab, Rear Teep, Lead Teep
791	Jab, Cross to the Belly, Lead Overhand, Rear Low Kick
792	Jab, Lead Short Uppercut, Cross, Lead High Kick
793	Jab, Rear Short Uppercut, Lead Overhand, Rear Low Cut Kick
794	Jab, Lead Spear Elbow, Rear Up Elbow, Lead Cut Elbow
795	Jab, Rear Up Elbow, Lead Cut Elbow, Rear Downward Elbow
796	Jab, Lead Spear Elbow, Rear Downward Elbow, Lead Straight Knee
797	Jab, Cross, Lead Overhand, Rear Low Kick, Lead High Kick
798	Jab, Lead Spear Elbow, Rear Up Elbow, Lead Cut Elbow, Rear Downward Elbow
799	Jab, Rear Up Elbow, Lead Cut Elbow, Rear Downward Elbow, Lead Straight Knee
800	Jab, Lead Spear Elbow, Rear Up Elbow, Lead Cut Elbow, Rear Downward Elbow, Lead Straight Knee
