301	/R/-6b-3-6-1
302	1-1b-4-3b
303	2-1-2b-5
304	1-2-6b-1
305	/R/-4b-3b-6-3
306	1-1-/L/-3b-4b
307	1b-6-1-4
308	1-2b-3-4b
309	/R/-6-5-4-3b
310	1-/L/-3-/L/-3b-4
311	1-/L/-3-1-/L/3b
312	1b-2b-1-2
313	1b-2b-5-4
314	1-4b-6-3
315	4-5-4-2b
316	1b-6-1-6
317	2-3b-4-5
318	1b-6-5-4
319	1-1-2-3-4
320	1-2-3-2-1
321	4b-3b-2-1-2
322	1-2-3b-pivote-4b-4-1
323	1-4b-3b-6-1
324	/R/-4-3b-3-4b-3b
325	/R/-6-5-4-5b-3
326	/L/-3-4b-3b-5-4
327	1-2-3-/R/-6-3
328	1-1/R/-2-1-1
329	1-1/R/-2-3-2
330	2b-3-4b-3b-4
331	/L/-3b-6-5-4-3b
332	/R/-4b-5-3-4b-3b
333	/R/-4-3b-6-3-4b
334	/L/-3b-4b-5-4-3b
335	/R/-4-3b-5-6-3
336	/L/-3b-4-3b-6-3
337	/L/-3-4b-3b-4-6
338	/L/-5-4-3b-6-3
339	/R/-6-5-4-3b-4b
340	/L/-5-4-3b-3-4b
341	/L/-3-6-5-4-3b
342	/R/-4b-3b-6-3-4b
343	/R/-4b-3-6-3-4b
344	4b-6-3-4b-3b
345	4-5-4-1b-4b
346	/L/-5-4-1b-4b-3
347	/R/-2b-1b-4-1b-3
348	3-4-3b-4b-3b
349	4-3-4b-3b-4b
350	1-2-1/R/-2-3-2
351	1-2-{3}-2/L/-3-2
352	1-2-{3}-3-2-3
353	1-2-3-{2}-3-2
354	1-1-1-1-1-2-3
355	/L/-1-/L/
356	1b-6
357	/L/-1-4b
358	2-/R/-6
359	/L/-3b-6
360	1/R/-<R>6
361	/R/-6-4
362	3b-4b
363	2-2-1
364	2-2-4
365	2-1-4
366	3b-4-1
367	2-5-4
368	3-4b-4
369	4-2b-5
370	2-/R/-4-5
371	/L/-3-2b-/R/-6
372	2/L/-1b-5
373	/L/-1-4-3
374	4-3-4b
375	/R/-6-3-4b
376	/R/-4b-3b-4
377	1b-4-1
378	2-3-2
379	2-3-2b
380	6-2-1
381	6-6b-2-1
382	2-1-1-6-1
383	/R/-6b-3b-6-1
384	1-1-2b-3
385	/L/-3b-4b-6-1
386	2-1-/L/-5-4
387	1b-2-1b-6
388	/R/-6-5-2b-3b
389	/L/-3-4b-3b
390	3b-4b-5-2
391	2b-3b-6-1
392	4-4b-3b-6
393	2b-5-6-1
394	1-2-1b-4b
395	3-4b-1b-4
396	3-/L/-5-4-3b-4b
397	4-3b-4b-5-4
398	3b-4-6-3-4b
399	4b-6-5-4-3b
400	3-6-5-4-3b
