1	1p
2	1b-bs
3	/L/-3
4	/R/-6
5	/L/-5
6	/R/-4
7	pb-2
8	3p
9	4bpccw
10	rs-5
11	bs-2
12	pb-/R/-6b
13	1-2
14	1-1b
15	1-6
16	2-1
17	1-1
18	1-3
19	/R/-4b-4
20	/L/-1-3
21	/R/-6-3
22	/R/-4-5
23	/R/-4-6
24	1-2b
25	1b-2
26	/L/-3-4
27	/L/-3b-4b
28	/R/-4-3b
29	/L/-3b-5
30	/L/-3-6
31	/L/-3-4b
32	1b-6
33	1b-3
34	1-/L/-3
35	6-4
36	1-/R/-4
37	/R/-6-1
38	1-/R/-2
39	1-6b
40	2-5
41	1f-3
42	2f-3
43	6-2
44	5-2
45	2-2
46	2-3
47	3-4
48	1t-2
49	3-3
50	2-4
51	4-1b
52	6-1
53	/R/-4-/L/-3b
54	/R/-6b-3
55	1-/R/-6
56	/L/-3-5
57	2b-3b
58	/L/-3-4
59	/R/-4b-6
60	1b-6
61	/L/-3b-6
62	1-/L/-3b
63	/L/-5-2
64	pb-2-1
65	/L/-3b-4
66	1b-4
67	/L/-5-4
68	1b-/L/-5
69	/L/-3-/L/-3b
70	/L/-3b-3
71	2b-1
72	1-4
73	6-3p
74	2-p-2
75	1p-2
76	1-bs-1
77	/R/-6b-/R/-2
78	2/L/-3b
79	1/R/-2
80	1/R/-3b
81	1/R/-6
82	bs-2b-3
83	/R/-6-1-2
84	1-1-2
85	1-2-1
86	1-2-3
87	1-6-3
88	1-3-2
89	3-2-3
90	2-3-6
91	4-3-4
92	4-5-2
93	6-3-2
94	6-3-6
95	2-2-1b
96	2-1-2b
97	3-/L/-5-4
98	1-/L/-3b-2
99	/L/-3-4-5
100	1-2b-1
