801	Jab, Rear Up Elbow, Lead Cut Elbow, Rear Downward Elbow, Lead Straight Knee, Rear High Kick
802	Left Jab, Right Jab, Left Jab, Left Side Elbow
803	Left Jab, Left Jab, Right Body Hook, Left Hook
804	Left Jab, Right Body Hook, Left Jab, Right Face Hook
805	Left Jab, Right Hook, Left Body Hook, Right Body Hook
806	Left Jab, Right Cross, Right Hook
807	Left Jab, Left Hook, Left Jab, Right Side Elbow
808	Left Jab, Right Body Hook, Right Hook, Right Elbow
809	Left Side Elbow, Right Spinning Elbow
810	Left Front Kick, Right Round Kick
811	Left Knee, Right Knee
812	Left Side Kick, Right Knee, Left Knee
813	Left Knee, Right Knee
814	Right Knee, Right Knee, Left Knee
815	Right Round Kick, Left Side Kick, Right Front Kick
816	Left Front Kick, Right Front Kick, Left Front Kick, Right Round Kick
817	Right Front Kick, Left Front Kick, Left Knee, Right Knee
818	Right Knee, Left Front Kick, Right Knee
819	Left Round Kick, Right Knee, Right Knee, Right Knee
820	Left Jab, Right Jab, Left Hook, Right Round Kick
821	Left Jab, Left Jab, Right Knee
822	Left Front Kick, Right Knee
823	Left Jab, Left Front Kick, Right Round Kick
824	Left Jab, Right Jab, Left Overhand Elbow, Right Knee
825	Left Jab, Right Knee, Left Knee, Left Elbow
826	Left Jab, Left Elbow, Right Knee
827	Right Front Kick, Left Knee, Left Slashing Elbow, Right Side Elbow
828	Left Front Kick, Right Round Kick, Left Jab, Right Cross, Left Hook, Right Hook, Left Elbow, Left Spinning Elbow
829	Jab, Cross, Lead Hook
830	Lead Uppercut, Cross, Lead Hook
831	Lead Hook, Cross, Lead Hook
832	Jab, Cross, Uppercut
833	Jab, Overhand, Uppercut
834	Lead Elbow, Rear Elbow, Round Elbow
835	Upward Elbow, Rear Elbow, Round Elbow
836	Round Elbow, Rear Elbow, Round Elbow
837	Lead Elbow, Rear Elbow, Upward Elbow
838	Lead Elbow, Diagonal Elbow, Upward Elbow
839	Jab, Cross, Lead Round Elbow
840	Upward Elbow, Cross, Lead Hook
841	Lead Hook, Cross, Lead Round Elbow
842	Overhand, Uppercut, Diagonal Elbow
843	Jab, Cross, Lead Upward Elbow
844	Jab, Slip Inside, Lead Uppercut, Cross, Lead Hook
845	Jab to Head, Rear Straight to Body, Lead Hook to Head
846	Catch First Jab, Slip Second Jab, Rear Straight, Lead Hook
847	Double Jab Forward, Slip Inside, Pivot Out, Lead Uppercut, Lead Hook, Cross
848	Jab, Pull Back, Rear Straight, Lead Hook
849	One-Two, Side-Step to Power Side, Cross, Lead Hook with Pivot, Cross
850	Double Jab Forward, Slip, Lead Hook, Cross, Roll Out
851	One-Two, Step Back, Rear Uppercut, Pivot, Cross, Lead Hook
852	Jab Feint, Step-In Lead Hook, Cross
853	Bounce-In Jab, Bounce-Out, Repeat Jab Rhythm
854	Jab, Pin Jab, Cross, Roll-and-Step, Lead Body Hook
855	Rear Uppercut, Lead Hook, Slip; Lead Hook, Cross, Lead Hook, Slip; Lead Body Hook, Lead Head Hook, Cross, Slip
856	One-Two; Double Jab-Cross; Four Straight Punches; Double Jab-Cross
857	One-Two-Lead Hook, Lead Body Hook, Roll; Rear Uppercut, Lead Uppercut, Rear Uppercut; Lead Hook, Cross, Lead Hook
858	Jab, Step Back, One-Two
859	Cross, Lead Hook
860	Lead Hook, Roundhouse Kick
861	Jab, Cross
862	Roundhouse Kick, Spinning Back Kick
863	Overhand or Chopping Cross, Uppercut
864	Lead Hook, Spinning Backfist
865	Shifting Cross, Roundhouse Kick
866	Cross, Shuffling Hook or Gazelle Punch
867	Slip Left, Lead Hook Counter
868	Slip Left while Throwing Rear Cross or Rear Hook
869	Slip Right, Rear Cross or Rear Hook
870	Slip Right while Throwing Lead Hook
871	Duck, Uppercut
872	Duck while Throwing Body Jab, Body Cross, or Overhand
873	Shoulder Roll, Spinning Back Kick
874	Shoulder Roll, Cross
875	Shoulder Roll while Throwing Lead Hook
876	Step Left while Throwing Rear Roundhouse Kick
877	Pull Back, Rear Cross
878	Jab, Cross
879	Jab, Jab, Cross
880	Jab, Cross, Lead Hook
881	Jab, Cross, Lead Hook, Cross
882	Jab, Cross, Lead Uppercut, Cross
883	Jab, Rear Uppercut, Lead Hook, Cross
884	Cross, Lead Hook, Cross
885	Southpaw Jab, Cross, Hook to Liver, Left Low Kick, Push Kick
886	Jab, Right Low Kick
887	Jab, Cross, Left Low Kick
888	Jab, Cross, Hook, Right Low Kick
889	Lead Hook Outside Thigh, Lead Hammerfist Inside Thigh
890	Rear Hook Outside Thigh, Rear Hammerfist Inside Thigh
891	Lead Hammerfist Inside Thigh, Lead Hook Outside Thigh
892	Rear Hammerfist Inside Thigh, Rear Hook Outside Thigh
893	Jab, Cross
894	Double Jab, Cross
895	Jab, Cross, Lead Hook
896	Lead Hook, Cross, Lead Hook
897	Jab, Lead Uppercut, Cross, Lead Hook
898	Jab, Rear Uppercut, Lead Hook
